key,Departure_2011,Ticket_class_description,Departure,Destination,value,Supplier_name,Directorate
89,February,Economy,UK,UK,42.85,BRITISH AIRWAYS,IPS
90,February,Economy,UK,UK,169.8,MANX2,IPS
91,January,Economy,UK,UK,87.03,EASYJET,IPS
92,January,Economy,UK,UK,255.31,FLYBE BRITISH EUROPEAN,IPS
93,January,Economy,UK,UK,83.81,FLYBE BRITISH EUROPEAN,IPS
94,January,Economy,UK,UK,48.74,EASYJET,IPS
95,January,Economy,UK,UK,81.6,FLYBE BRITISH EUROPEAN,IPS
96,January,Economy,UK,UK,132.03,EASYJET,IPS
97,January,Economy,UK,UK,95.59,BMI,IPS
98,January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
99,January,Economy,UK,UK,97.93,BRITISH AIRWAYS,IPS
100,February,Economy,UK,UK,126.15,FLYBE BRITISH EUROPEAN,IPS
101,January,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS
102,February,Economy,UK,UK,95.03,EASYJET,IPS
103,January,Economy,UK,UK,92.69,BRITISH AIRWAYS,IPS
104,January,Economy,UK,UK,94.34,FLYBE BRITISH EUROPEAN,IPS
105,January,Economy,UK,UK,53.74,EASYJET,IPS
106,January,Business Class,UK,UK,258.54,BRITISH AIRWAYS,IPS
107,January,Business Class,UK,UK,206.54,BRITISH AIRWAYS,IPS
108,February,Economy,UK,UK,35.6,BMI,IPS
109,February,Economy,UK,UK,68.73,BRITISH AIRWAYS,IPS
110,February,Economy,UK,UK,30.5,BMI,IPS
111,February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS
112,February,Economy,UK,EEA,113.98,RYANAIR,IPS
113,January,Economy,UK,UK,211.59,BMI,IPS
114,February,Economy,UK,EEA,113.98,RYANAIR,IPS
115,February,Economy,UK,UK,71,FLYBE BRITISH EUROPEAN,IPS
116,January,Economy,UK,UK,262.62,BRITISH AIRWAYS,IPS
117,February,Economy,UK,UK,79,FLYBE BRITISH EUROPEAN,IPS
