CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S3781,MAKUKWE SECONDARY SCHOOL,Mtwara,Southern Highlands,42,38,38,38,100,green,3.7802,6,7,630,245
S0275,GLENRONS GIRL'S SECONDARY SCHOOL,Dar es Salaam,Coastal,74,74,71,71,96,green,3.7808,6,7,631,858
S0455,TWEYAMBE SECONDARY SCHOOL,Kagera,Lake,139,137,128,128,93,green,3.7811,6,7,632,678
S3849,KHAIRAAT ISLAMIC SECONDARY SCHOOL,Lindi,Coastal,48,48,48,48,100,green,3.7831,6,7,633,450
S0468,KIRIKI SECONDARY SCHOOL,Kilimanjaro,Northern,129,128,126,126,98,green,3.7871,6,8,634,1294
S0561,MONTFORT SECONDARY SCHOOL,Mbeya,Southern Highlands,106,106,104,104,98,green,3.789,6,7,635,937
S0254,WALI-UL-ASR GIRLS SEMINARY,Pwani,Coastal,62,62,57,57,92,green,3.7894,6,7,636,193
S0460,IRAMBO SECONDARY SCHOOL,Mbeya,Southern Highlands,56,55,45,45,82,green,3.7899,6,8,637,984
S4062,TABASAMU SECONDARY SCHOOL,Mwanza,Lake,143,143,134,134,94,green,3.7927,6,7,638,608
S0763,NGANA SECONDARY SCHOOL,Mbeya,Southern Highlands,90,82,75,75,91,green,3.7942,6,8,639,1254
S4807,NACHINGWEA GIRLS' SECONDARY SCHOOL,Lindi,Coastal,63,62,61,61,98,green,3.7944,6,,640,
S3131,LIMBO SECONDARY SCHOOL,Ruvuma,Southern Highlands,46,39,39,39,100,green,3.7979,6,9,641,2305
S0627,KIDELEKO SECONDARY SCHOOL,Tanga,Northern,41,22,21,21,95,green,3.8021,6,8,642,1980
S1918,AL-FALAAH MUSLIM SECONDARY SCHOOL,Unguja,Zanzibar,49,49,48,48,98,green,3.8034,6,5,643,80
S2097,PANDAGICHIZA SECONDARY SCHOOL,Shinyanga,Lake,59,58,52,52,90,green,3.8064,6,8,644,1170
S0226,KAGUNGULI SECONDARY SCHOOL,Mwanza,Lake,87,87,86,86,99,green,3.8093,6,6,645,365
S0519,LALAGO SECONDARY SCHOOL,Simiyu,Lake,119,119,108,108,91,green,3.8123,6,7,646,501
S2088,ILOLANGULU SECONDARY SCHOOL,Geita,Lake,51,43,34,34,79,green,3.8127,6,7,647,344
S1043,TUKUYU SECONDARY SCHOOL,Mbeya,Southern Highlands,197,190,151,151,79,green,3.8128,6,7,648,531
S4935,CHAMBOGO SECONDARY SCHOOL,Tanga,Northern,57,56,48,48,86,green,3.8136,6,,649,
S0785,DAR-ES-SALAAM CHRISTIAN SEMINARY,Dar es Salaam,Coastal,74,74,65,65,88,green,3.8153,6,7,650,736
S4718,RAUDHA ACADEMY SECONDARY SCHOOL,Unguja,Zanzibar,54,54,54,54,100,green,3.8153,6,6,651,95
S2649,OSP RUHUJI SECONDARY SCHOOL,Njombe,Southern Highlands,51,51,46,46,90,green,3.8154,6,7,652,874
S1094,JIHAD SECONDARY SCHOOL,Kigoma,Lake,138,132,116,116,88,green,3.816,6,7,653,400
S2999,MAMBALI  SECONDARY SCHOOL,Tabora,Central,45,43,42,42,98,green,3.8167,6,7,654,235
S0457,IGAWILO SECONDARY SCHOOL,Mbeya,Southern Highlands,241,235,194,194,83,green,3.8202,6,8,655,1328
S2989,SAGATA SECONDARY SCHOOL,Simiyu,Lake,47,33,31,31,94,green,3.8202,6,7,656,283
S0492,KISHUMUNDU SECONDARY SCHOOL,Kilimanjaro,Northern,55,55,54,54,98,green,3.8209,6,7,657,815
S1176,BUSOLWA SECONDARY SCHOOL,Geita,Lake,82,76,74,74,97,green,3.8215,6,8,658,715
S1060,ST.MARY'S SECONDARY SCHOOL,Dar es Salaam,Coastal,108,107,101,101,94,green,3.8231,6,8,659,1442
S3758,MASABEDA SECONDARY SCHOOL,Manyara,Northern,91,87,72,72,83,green,3.8239,6,7,660,673
S0444,ITAMBA SECONDARY SCHOOL,Njombe,Southern Highlands,109,108,93,93,86,green,3.8241,6,7,661,692
S1327,MAZOEZI KLERRUU SECONDARY SCHOOL,Iringa,Southern Highlands,253,249,197,197,79,green,3.8249,6,7,662,803
S3851,JANDA SECONDARY SCHOOL,Kigoma,Lake,58,51,45,45,88,green,3.827,6,8,663,1423
S1596,NYERERE HIGH SCHOOL MIGOLI,Iringa,Southern Highlands,158,156,132,132,85,green,3.8273,6,7,664,508
S1933,NYASATO   SECONDARY SCHOOL,Geita,Lake,50,47,40,40,85,green,3.8279,6,7,665,431
S0623,KAHUNDA SECONDARY SCHOOL,Mwanza,Lake,84,83,76,76,92,green,3.8281,6,8,666,1652
S1241,JUHUDI SECONDARY SCHOOL,Dar es Salaam,Coastal,394,326,254,254,78,green,3.8304,6,7,667,799
S4876,KANAMA SECONDARY SCHOOL,Mbeya,Southern Highlands,157,153,126,126,82,green,3.8321,6,,668,
S0909,NAZARENE SECONDARY SCHOOL,Mbeya,Southern Highlands,60,58,53,53,91,green,3.8329,6,7,669,920
S0857,LONGIDO SECONDARY SCHOOL,Arusha,Northern,264,261,230,230,88,green,3.8335,6,8,670,1212
S0685,NAMABENGO SECONDARY SCHOOL,Ruvuma,Southern Highlands,106,102,99,99,97,green,3.8364,6,8,671,1022
S1104,IDODI SECONDARY SCHOOL,Iringa,Southern Highlands,315,303,253,253,83,green,3.841,6,7,672,590
S0967,MLOLE SECONDARY SCHOOL,Kigoma,Lake,189,183,144,144,79,green,3.8412,6,7,673,578
S4682,OLOKII PARISH SECONDARY SCHOOL,Arusha,Northern,48,48,44,44,92,green,3.8412,6,8,674,1963
S3537,PAWAGA SECONDARY SCHOOL,Iringa,Southern Highlands,44,43,37,37,86,green,3.8423,6,8,675,799
S1192,MAAWAL SECONDARY SCHOOL,Tanga,Northern,269,267,253,253,95,green,3.8434,6,7,676,560
S0900,MWIGO SECONDARY SCHOOL,Mbeya,Southern Highlands,119,111,91,91,82,green,3.8435,6,7,677,963
S4017,GOSPEL CAMPAIGN SECONDARY SCHOOL,Dar es Salaam,Coastal,58,57,48,48,84,green,3.8438,6,7,678,523
S0306,DODOMA SECONDARY SCHOOL,Dodoma,Central,255,241,186,186,77,green,3.8457,6,7,679,544
S0310,FOREST HILL SECONDARY SCHOOL,Morogoro,Southern Highlands,55,55,46,46,84,green,3.8462,6,8,680,1281
S0582,UNUNIO ISLAMIC HIGH SCHOOL,Dar es Salaam,Coastal,40,40,30,30,75,green,3.8473,6,8,681,1162
S4947,LONGA SECONDARY SCHOOL,Ruvuma,Southern Highlands,84,83,80,80,96,green,3.8477,6,7,682,667
S3447,MWANTIMBA SECONDARY SCHOOL,Simiyu,Lake,49,49,45,45,92,green,3.8502,6,8,683,1196
S5025,KEIFO SECONDARY SCHOOL,Mbeya,Southern Highlands,65,65,57,57,88,green,3.8506,6,,684,
S1415,BUKWIMBA SECONDARY SCHOOL,Geita,Lake,92,72,57,57,79,green,3.8521,6,6,685,348
S0738,RIDHWAA SEMINARY,Dar es Salaam,Coastal,103,101,91,91,90,green,3.8531,6,7,686,645
S4424,BUTENGORUMASA SECONDARY SCHOOL,Geita,Lake,43,41,34,34,83,green,3.8531,6,8,687,2092
S0747,MLALO SECONDARY SCHOOL,Tanga,Northern,205,204,184,184,90,green,3.8555,6,8,688,1727
S4712,KAPUYA SECONDARY SCHOOL,Tabora,Central,59,54,49,49,91,green,3.8588,6,,689,
S2681,IPOGOLO SECONDARY SCHOOL,Iringa,Southern Highlands,88,76,72,72,95,green,3.8592,6,7,690,497
S0135,MOSHI TECHNICAL SECONDARY SCHOOL,Kilimanjaro,Northern,241,235,177,177,75,green,3.8601,6,6,691,388
S4176,IMAULUMA SECONDARY SCHOOL,Iringa,Southern Highlands,41,41,40,40,98,green,3.8606,6,8,692,1399
S4684,NAR SECONDARY SCHOOL,Manyara,Northern,40,37,27,27,73,green,3.8616,6,6,693,139
S1787,ILOMBA SECONDARY SCHOOL,Mbeya,Southern Highlands,236,211,179,179,85,green,3.8628,6,8,694,1068
S3806,UKUMBISIGANGA SECONDARY SCHOOL,Tabora,Central,49,35,32,32,91,green,3.8635,6,7,695,218
S0414,IAMBI SECONDARY SCHOOL,Singida,Central,48,48,39,39,81,green,3.8645,6,7,696,546
S3764,CHRISTOPHER SECONDARY SCHOOL,Dodoma,Central,128,66,64,64,97,green,3.8648,6,7,697,872
S0751,RUHUWIKO SECONDARY SCHOOL,Ruvuma,Southern Highlands,180,180,162,162,90,green,3.8664,6,7,698,553
S0516,MOMBO SECONDARY SCHOOL,Tanga,Northern,62,61,48,48,79,green,3.8665,6,8,699,1473
S3057,MUKIRE SECONDARY SCHOOL,Kagera,Lake,77,72,60,60,83,green,3.868,6,7,700,609
S1589,MWANZA BAPTIST SECONDARY SCHOOL,Mwanza,Lake,95,90,82,82,91,green,3.8685,6,8,701,1744
S4330,BAKOBA SECONDARY SCHOOL,Kagera,Lake,54,49,41,41,84,green,3.8686,6,8,702,1655
S2537,ILALA SECONDARY SCHOOL,Dar es Salaam,Coastal,277,272,195,195,72,green,3.8715,6,7,703,453
S0271,MANYUNYU SECONDARY SCHOOL,Njombe,Southern Highlands,152,147,119,119,81,green,3.8732,6,6,704,360
S1625,J.W.BUKANGA SECONDARY SCHOOL,Mara ,Southern Highlands,99,99,90,90,91,green,3.8745,6,7,705,623
S4548,NZIVI SECONDARY SCHOOL,Iringa,Southern Highlands,67,30,23,23,77,green,3.8771,6,8,706,1151
S1389,MGWASHI SECONDARY SCHOOL,Tanga,Northern,65,62,53,53,85,green,3.8781,6,9,707,2307
S0307,DODOMA CENTRAL SECONDARY SCHOOL,Dodoma,Central,75,68,56,56,82,green,3.8793,6,9,708,1856
S1197,GREEN ACRES SECONDARY SCHOOL,Dar es Salaam,Coastal,162,159,142,142,89,green,3.8815,6,7,709,539
S0358,SHIGHATINI SECONDARY SCHOOL,Kilimanjaro,Northern,53,53,42,42,79,green,3.8829,6,8,710,1978
S2515,FPCT-TUMAINI SECONDARY SCHOOL,Katavi,Southern Highlands,106,104,94,94,90,green,3.8837,6,7,711,428
S1202,MTERA SECONDARY SCHOOL,Iringa,Southern Highlands,119,73,65,65,89,green,3.8838,6,8,712,1035
S5047,MADUNGU SECONDARY SCHOOL,Pemba,Zanzibar,136,135,125,125,93,green,3.8849,6,8,713,2097
S2725,PREMIUM SECONDARY SCHOOL,Mwanza,Lake,65,65,62,62,95,green,3.8858,6,7,714,558
S3265,MAYONDWE SECONDARY SCHOOL,Kagera,Lake,116,113,111,111,98,green,3.8868,6,8,715,1134
S1032,ITIGI SECONDARY SCHOOL,Singida,Central,133,124,98,98,79,green,3.8886,6,8,716,1135
S3269,HAMUGEMBE SECONDARY SCHOOL,Kagera,Lake,66,62,51,51,82,green,3.8886,6,6,717,118
S2684,MAZIWA SECONDARY SCHOOL,Mbeya,Southern Highlands,115,39,31,31,79,green,3.8893,6,8,718,1044
S2334,ISLAMIYA SECONDARY SCHOOL,Mwanza,Lake,71,69,59,59,86,green,3.8908,6,7,719,491
S4020,RUBONDO SECONDARY SCHOOL,Kagera,Lake,91,69,65,65,94,green,3.8929,6,6,720,123
S4028,DIMITRIOS SECONDARY SCHOOL ,Iringa,Southern Highlands,55,49,40,40,82,green,3.8941,6,7,721,933
S5091,MPANZI SECONDARY SCHOOL,Rukwa,Southern Highlands,44,44,42,42,95,green,3.8983,6,,722,
S3606,MASUMBWE SECONDARY SCHOOL,Geita,Lake,196,151,132,132,87,green,3.9,6,7,723,547
S1674,PHILIP MANGULA SECONDARY SCHOOL,Njombe,Southern Highlands,113,113,83,83,73,green,3.9007,6,7,724,687
S0560,KASULU SECONDARY SCHOOL,Kigoma,Lake,235,234,188,188,80,green,3.901,6,8,725,1075
S5202,TINGATINGA SECONDARY SCHOOL,Arusha,Northern,170,168,142,142,85,green,3.9038,6,,726,
S3982,NEW LIFE SECONDARY SCHOOL,Arusha,Northern,43,42,37,37,88,green,3.9038,6,8,727,906
S4319,LUSAHUNGA SECONDARY SCHOOL,Kagera,Lake,50,44,40,40,91,green,3.9053,6,8,728,1373
S0341,SANGU SECONDARY SCHOOL,Mbeya,Southern Highlands,469,437,347,347,79,green,3.9055,6,7,729,642
S0314,KAZIMA SECONDARY SCHOOL,Tabora,Central,78,76,60,60,79,green,3.9056,6,7,730,885
S5153,MBEDE SECONDARY SCHOOL,Katavi,Southern Highlands,44,43,32,32,74,green,3.9063,6,8,731,981
S3039,SHAMALIWA SECONDARY SCHOOL,Mwanza,Lake,243,210,173,173,82,green,3.9069,6,7,732,929
S3148,MAKUNGU SECONDARY SCHOOL,Iringa,Southern Highlands,65,56,47,47,84,green,3.9071,6,7,733,750
S0587,CHUNYA SECONDARY SCHOOL,Mbeya,Southern Highlands,51,49,40,40,82,green,3.9076,6,7,734,368
S2619,MWAMISHALI SECONDARY SCHOOL,Simiyu,Lake,47,46,41,41,89,green,3.9076,6,8,735,2065
S1412,VICTORIA SECONDARY SCHOOL,Mara ,Southern Highlands,54,45,38,38,84,green,3.9079,6,8,736,1031
S4727,UTWARI SECONDARY SCHOOL,Manyara,Northern,47,45,40,40,89,green,3.9082,6,7,737,723
S4484,TANNER SECONDARY SCHOOL,Dodoma,Central,110,109,99,99,91,green,3.9103,6,8,738,996
S3532,ACACIA SECONDARY SCHOOL,Pwani,Coastal,71,71,66,66,93,green,3.9108,6,7,739,563
S2531,KASHISHI SECONDARY SCHOOL,Tabora,Central,47,40,35,35,88,green,3.9125,6,7,740,865
S1406,JAMHURI DSM SECONDARY SCHOOL,Dar es Salaam,Coastal,178,171,113,113,66,green,3.9125,6,8,741,1142
S4037,MUNKINYA SECONDARY SCHOOL,Singida,Central,92,91,72,72,79,green,3.9127,6,8,742,1221
S3681,EDI  SECONDARY SCHOOL,Mbeya,Southern Highlands,100,88,63,63,72,green,3.9137,6,8,743,1348
S0381,UTAANI SECONDARY SCHOOL,Pemba,Zanzibar,173,173,125,125,72,green,3.9146,6,8,744,1713
S4178,MWONGOZO SECONDARY SCHOOL,Tabora,Central,60,36,31,31,86,green,3.9147,6,7,745,481
S0690,ITUNDU SECONDARY SCHOOL,Mbeya,Southern Highlands,103,101,81,81,80,green,3.9155,6,7,746,716
S5071,HANDENI ISLAMIC SECONDARY SCHOOL,Tanga,Northern,91,81,79,79,98,green,3.9172,6,8,747,1256
S4011,ST AGATHON SECONDARY SCHOOL,Ruvuma,Southern Highlands,55,40,38,38,95,green,3.9182,6,9,748,2145
S4181,KILIMANI MAWENI SECONDARY SCHOOL,Rukwa,Southern Highlands,202,187,158,158,84,green,3.9188,6,7,749,416
S0371,LOMBETA SECONDARY SCHOOL,Kilimanjaro,Northern,99,96,92,92,96,green,3.9212,6,7,750,602
S3205,WAMI SECONDARY SCHOOL,Morogoro,Southern Highlands,71,36,30,30,83,green,3.9215,6,7,751,544
S3342,MASUMBA SECONDARY SCHOOL,Simiyu,Lake,45,28,27,27,96,green,3.9215,6,7,752,226
S1349,NYAKAHURA SECONDARY SCHOOL,Kagera,Lake,64,59,55,55,93,green,3.9226,6,8,753,1185
S0745,TEMBELA SECONDARY SCHOOL,Mbeya,Southern Highlands,52,51,46,46,90,green,3.9236,6,7,754,817
S4907,ISEKE MUUNGANO SECONDARY   SCHOOL,Singida,Central,89,40,34,34,85,green,3.9239,6,8,755,1912
S1107,MWAMASHIMBA SECONDARY SCHOOL,Mwanza,Lake,95,89,73,73,82,green,3.9244,6,7,756,625
S1220,MSAMALA SECONDARY SCHOOL,Ruvuma,Southern Highlands,164,159,133,133,84,green,3.9246,6,8,757,1357
S0769,MALAGARASI SECONDARY SCHOOL,Kigoma,Lake,163,160,142,142,89,green,3.9248,6,7,758,504
S0590,WILIMA SECONDARY SCHOOL,Ruvuma,Southern Highlands,134,131,106,106,81,green,3.925,6,8,759,1197
S4722,KIGONSERA CATECHISTS SECONDARY SCHOOL,Ruvuma,Southern Highlands,72,67,64,64,96,green,3.9254,6,8,760,1899
S0329,MAKUMIRA SECONDARY SCHOOL,Arusha,Northern,175,171,148,148,87,green,3.9254,6,7,761,520
S2223,IWAMBI SECONDARY SCHOOL,Mbeya,Southern Highlands,153,80,61,61,76,green,3.9257,6,8,762,1021
S1042,MUNGAA SECONDARY SCHOOL,Singida,Central,139,134,100,100,75,green,3.9263,6,8,763,1148
S0907,ZINGIBARI SECONDARY SCHOOL,Tanga,Northern,93,91,85,85,93,green,3.9264,6,8,764,847
S4549,LUGANGA SECONDARY SCHOOL,Iringa,Southern Highlands,101,91,78,78,86,green,3.9274,6,7,765,828
S1762,BOMALANG'OMBE SECONDARY SCHOOL,Iringa,Southern Highlands,94,92,86,86,93,green,3.9278,6,7,766,592
S2370,KAFITA SECONDARY SCHOOL,Geita,Lake,158,156,121,121,78,green,3.9292,6,8,767,1151
S4488,LUTEBA SECONDARY SCHOOL,Mbeya,Southern Highlands,64,60,54,54,90,green,3.9296,6,8,768,1105
S3042,KANGAYE SECONDARY SCHOOL,Mwanza,Lake,172,160,142,142,89,green,3.9306,6,6,769,258
S1958,SHISHIYU SECONDARY SCHOOL,Simiyu,Lake,56,46,39,39,85,green,3.933,6,8,770,1100
S3981,MUSTAFA SABODO SECONDARY SCHOOL,Mtwara,Southern Highlands,182,176,143,143,81,green,3.933,6,7,771,616
S4562,MWAKIPANGA SECONDARY SCHOOL,Tabora,Central,45,40,34,34,85,green,3.9339,6,7,772,537
S1939,MAWENI SECONDARY SCHOOL,Mbeya,Southern Highlands,130,95,83,83,87,green,3.9341,6,7,773,761
S4599,SALE  SECONDARY SCHOOL,Arusha,Northern,66,62,53,53,85,green,3.9344,6,8,774,997
S2661,LUNGUYA SECONDARY SCHOOL,Shinyanga,Lake,52,52,48,48,92,green,3.9352,6,6,775,128
S0496,JITEGEMEE SECONDARY SCHOOL,Dar es Salaam,Coastal,370,366,337,337,92,green,3.9364,6,7,776,507
S4338,LWEMO SECONDARY SCHOOL,Geita,Lake,62,49,43,43,88,green,3.9368,6,8,777,1060
S2275,LUBIGA  SECONDARY SCHOOL,Simiyu,Lake,51,45,42,42,93,green,3.9379,6,7,778,416
S1155,SONGA SECONDARY SCHOOL,Tanga,Northern,123,90,85,85,94,green,3.9381,6,7,779,477
S4376,MGERA SECONDARY SCHOOL,Tanga,Northern,43,41,31,31,76,green,3.9395,6,9,780,1965
S1621,D.C.T.JUBILEE SECONDARY SCHOOL,Dodoma,Central,143,143,117,117,82,green,3.9396,6,7,781,617
S2174,NKOMA DAY SECONDARY SCHOOL,Simiyu,Lake,70,30,20,20,67,green,3.9398,6,8,782,1844
S3403,UMAGI  SECONDARY SCHOOL,Manyara,Northern,46,42,35,35,83,green,3.9407,6,7,783,516
S0679,KIMANDOLU SECONDARY SCHOOL,Arusha,Northern,155,151,124,124,82,green,3.9411,6,8,784,1725
S3024,MWANTINI SECONDARY SCHOOL,Shinyanga,Lake,50,48,40,40,83,green,3.9419,6,8,785,1492
S3294,KIKUKWE SECONDARY SCHOOL,Kagera,Lake,65,64,57,57,89,green,3.9421,6,8,786,964
S4096,UMBUYA SECONDARY SCHOOL,Iringa,Southern Highlands,40,29,25,25,86,green,3.9428,6,8,787,842
S2027,MALYA SECONDARY SCHOOL,Mwanza,Lake,92,82,77,77,94,green,3.9436,6,7,788,485
S2030,BUYENZI SECONDARY SCHOOL,Kigoma,Lake,86,80,70,70,88,green,3.9442,6,7,789,466
S2663,BULIGE SECONDARY SCHOOL,Shinyanga,Lake,51,44,39,39,89,green,3.9443,6,8,790,879
S1076,MBUNGA SECONDARY SCHOOL,Ruvuma,Southern Highlands,48,38,37,37,97,green,3.9445,6,8,791,1385
S1211,KATESH SECONDARY SCHOOL,Manyara,Northern,83,77,62,62,81,green,3.9455,6,7,792,910
S3244,MATOGORO SECONDARY SCHOOL,Ruvuma,Southern Highlands,71,70,58,58,83,green,3.9457,6,8,793,1481
S2261,DANIEL NOUD SECONDARY SCHOOL,Manyara,Northern,45,45,32,32,71,green,3.9457,6,7,794,385
S1161,MAWELEWELE SECONDARY SCHOOL,Iringa,Southern Highlands,166,161,122,122,76,green,3.9459,6,7,795,863
S1253,ULAYA SECONDARY SCHOOL,Tabora,Central,116,113,101,101,89,green,3.9461,6,8,796,981
S0740,ALI HASSAN MWINYI ISL. SECONDARY SCHOOL,Tabora,Central,190,176,153,153,87,green,3.9465,6,9,797,2146
S5285,DOKAMAN SECONDARY SCHOOL,Iringa,Southern Highlands,46,45,37,37,82,green,3.9465,6,,798,
S3063,ISINGIRO SECONDARY SCHOOL,Kagera,Lake,98,97,72,72,74,green,3.947,6,8,799,1046
S3100,MARSHI SECONDARY SCHOOL,Mara ,Southern Highlands,45,45,40,40,89,green,3.9479,6,8,800,1585
S1259,NZEGA SECONDARY SCHOOL,Tabora,Central,107,102,84,84,82,green,3.949,6,7,801,871
S3996,BUREZA SECONDARY SCHOOL,Kagera,Lake,98,93,78,78,84,green,3.9497,6,7,802,585
S2177,MUHINTIRI SECONDARY SCHOOL,Singida,Central,45,30,23,23,77,green,3.95,6,8,803,1631
S2625,ISANGIJO SECONDARY SCHOOL,Geita,Lake,63,62,52,52,84,green,3.9504,6,7,804,669
S5019,FPCT-USHINDI SECONDARY SCHOOL,Rukwa,Southern Highlands,60,60,56,56,93,green,3.9519,6,,805,
S1055,SOUTHERN HIGHLANDS SECONDARY SCHOOL,Mbeya,Southern Highlands,152,148,118,118,80,green,3.9522,6,8,806,1103
S5150,CHASASA SECONDARY SCHOOL,Pemba,Zanzibar,108,107,92,92,86,green,3.9528,6,8,807,1201
S2385,KAREMA SECONDARY SCHOOL,Katavi,Southern Highlands,51,51,49,49,96,green,3.9533,6,8,808,1249
S3815,VITIRA SECONDARY SCHOOL,Morogoro,Southern Highlands,46,23,23,23,100,green,3.9544,6,7,809,931
S0528,SABA SABA SECONDARY SCHOOL,Mtwara,Southern Highlands,175,155,131,131,85,green,3.9567,6,8,810,1203
S3602,NYANDEKWA  SECONDARY SCHOOL,Shinyanga,Lake,50,46,37,37,80,green,3.957,6,7,811,308
S1086,LUDEWA SECONDARY SCHOOL,Njombe,Southern Highlands,67,65,55,55,85,green,3.9575,6,9,812,2156
S1936,BUKOMBE SECONDARY SCHOOL,Geita,Lake,48,45,32,32,71,green,3.9592,6,7,813,562
S3907,KIBAHA GIRLS' SECONDARY SCHOOL,Pwani,Coastal,82,80,54,54,68,green,3.9598,6,7,814,414
S3859,JELLY'S SECONDARY SCHOOL,Mwanza,Lake,51,51,44,44,86,green,3.9601,6,7,815,202
S4334,DR ASHA ROSE MIGIRO SECONDARY SCHOOL,Kilimanjaro,Northern,81,81,68,68,84,green,3.9616,6,7,816,788
S3509,SAPIENTIA SECONDARY SCHOOL,Ruvuma,Southern Highlands,64,52,45,45,87,green,3.9637,6,8,817,978
S1573,MLANGARINI SECONDARY SCHOOL,Arusha,Northern,275,269,241,241,90,green,3.964,6,7,818,682
S2062,MASUKILA SECONDARY SCHOOL,Mbeya,Southern Highlands,86,75,62,62,83,green,3.9656,6,8,819,1244
S3795,YEMEN SECONDARY SCHOOL,Dar es Salaam,Coastal,102,97,83,83,86,green,3.9659,6,8,820,986
S3920,INGWE SECONDARY SCHOOL,Mara ,Southern Highlands,67,62,52,52,84,green,3.966,6,7,821,465
S4496,TUSHIKAMANE CARE SECONDARY SCHOOL,Dar es Salaam,Coastal,40,12,12,12,100,green,3.9664,6,,822,
S3494,IGAGALA  SECONDARY SCHOOL,Tabora,Central,94,76,65,65,86,green,3.9666,6,7,823,437
S2185,MUDIDA SECONDARY SCHOOL,Singida,Central,46,44,31,31,70,green,3.9669,6,8,824,1695
S1763,LUTANGILO SECONDARY SCHOOL,Iringa,Southern Highlands,88,87,77,77,89,green,3.9674,6,8,825,1349
S1582,MSIGANI SECONDARY SCHOOL,Dar es Salaam,Coastal,111,106,94,94,89,green,3.9685,6,7,826,536
S1927,NTOBO SECONDARY SCHOOL,Shinyanga,Lake,49,46,34,34,74,green,3.9715,6,7,827,880
S4297,KALUMELE SECONDARY SCHOOL,Tanga,Northern,73,73,51,51,70,green,3.9719,6,8,828,986
S4655,IHANGA SECONDARY SCHOOL,Mbeya,Southern Highlands,116,101,79,79,78,green,3.9722,6,7,829,605
S1066,NTUZU SECONDARY SCHOOL,Simiyu,Lake,42,42,39,39,93,green,3.9732,6,7,830,447
S4040,BUTINZYA SECONDARY SCHOOL,Geita,Lake,46,43,33,33,77,green,3.9734,6,8,831,1179
S3848,MWAHU SECONDARY SCHOOL,Manyara,Northern,42,41,31,31,76,green,3.9737,6,8,832,1512
S2096,USULE SECONDARY SCHOOL,Shinyanga,Lake,44,41,31,31,76,green,3.9737,6,7,833,824
S2157,MUHINDA SECONDARY SCHOOL,Kigoma,Lake,94,93,81,81,87,green,3.9745,6,8,834,1511
S3655,NYASA SECONDARY SCHOOL,Ruvuma,Southern Highlands,51,44,43,43,98,green,3.9749,6,9,835,2254
S0562,USSERI SECONDARY SCHOOL,Kilimanjaro,Northern,117,117,102,102,87,green,3.9771,6,8,836,1577
S1088,TUMBI SECONDARY SCHOOL,Pwani,Coastal,174,163,127,127,78,green,3.9772,6,7,837,548
S4983,MUKULU SECONDARY  SCHOOL,Singida,Central,56,20,16,16,80,green,3.9773,6,8,838,918
S3484,NYUGWA SECONDARY SCHOOL,Geita,Lake,57,55,51,51,93,green,3.9782,6,7,839,712
S3627,MAGNUS SECONDARY SCHOOL,Dar es Salaam,Coastal,51,41,30,30,73,green,3.9792,6,7,840,944
S2071,LUCHILI SECONDARY SCHOOL,Ruvuma,Southern Highlands,40,36,35,35,97,green,3.9802,6,8,841,856
S1022,KAMBANGWA SECONDARY SCHOOL,Dar es Salaam,Coastal,382,331,233,233,70,green,3.9805,6,8,842,1073
S2379,MAJANI YA CHAI SECONDARY SCHOOL,Dar es Salaam,Coastal,272,224,169,169,75,green,3.9808,6,6,843,381
S4157,MWAKALUBA SECONDARY SCHOOL,Simiyu,Lake,54,49,46,46,94,green,3.9814,6,7,844,224
S1430,KIUMA SECONDARY SCHOOL,Ruvuma,Southern Highlands,200,194,156,156,80,green,3.9818,6,8,845,1513
S1633,OLD TANGA SECONDARY SCHOOL,Tanga,Northern,257,241,172,172,71,green,3.9822,6,8,846,1287
S0431,MTWANGO SECONDARY SCHOOL,Njombe,Southern Highlands,97,94,79,79,84,green,3.9826,6,7,847,834
S3255,TAE SECONDARY SCHOOL,Kilimanjaro,Northern,64,62,52,52,84,green,3.9837,6,9,848,2191
S4222,HILL VIEW SECONDARY SCHOOL,Tanga,Northern,49,49,43,43,88,green,3.984,6,7,849,899
S0505,EKENYWA SECONDARY SCHOOL,Arusha,Northern,134,112,97,97,87,green,3.9848,6,8,850,1559
S3608,NDOLA SECONDARY SCHOOL,Mbeya,Southern Highlands,46,42,31,31,74,green,3.9849,6,8,851,1446
S1815,THERESIA SECONDARY SCHOOL,Kilimanjaro,Northern,62,61,58,58,95,green,3.9851,6,7,852,896
S0456,KINANGO SECONDARY SCHOOL,Mwanza,Lake,157,128,105,105,82,green,3.9863,6,6,853,378
S2570,SANGAMWALUGESHA SECONDARY SCHOOL,Simiyu,Lake,40,29,23,23,79,green,3.9903,6,8,854,792
S3147,KASANGA SECONDARY SCHOOL,Iringa,Southern Highlands,73,67,54,54,81,green,3.9903,6,8,855,1828
S2277,BUSI SECONDARY SCHOOL,Dodoma,Central,51,50,40,40,80,green,3.9928,6,8,856,1452
S3287,NGWELI SECONDARY SCHOOL,Mwanza,Lake,198,164,124,124,76,green,3.9932,6,7,857,728
S1238,MKULA SECONDARY SCHOOL,Simiyu,Lake,132,123,108,108,88,green,3.9933,6,8,858,1939
