CENTRE CODE,key,REGION NAME,AREA NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,value,PASSED PERCENT,color,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S4207,MARIA DE MATTIAS SECONDARY SCHOOL,Dodoma,Central,64,64,64,64,100,green,2.2769,3,4,74,59
S4854,GEITA ADVENTIST SECONDARY SCHOOL,Geita,Lake,46,46,46,46,100,green,2.28,3,4,75,92
S4867,KITUNGWA SECONDARY SCHOOL,Morogoro,Southern Highlands,46,46,46,46,100,green,2.2869,3,4,76,104
S0154,ST. PETER'S SEMINARY,Morogoro,Southern Highlands,55,55,55,55,100,green,2.301,3,4,77,37
S1187,ST. MARY GORETI SECONDARY SCHOOL,Kilimanjaro,Northern,147,147,147,147,100,green,2.315,3,3,78,45
S1757,BENDEL MEMORIAL SECONDARY SCHOOL,Kilimanjaro,Northern,119,119,119,119,100,green,2.3164,3,4,79,67
S0168,SANU SEMINARY,Manyara,Northern,44,44,44,44,100,green,2.3245,3,3,80,50
S0263,VISITATION GIRLS' SECONDARY SCHOOL,Kilimanjaro,Northern,57,57,57,57,100,green,2.3277,3,4,81,62
S0756,MURUTUNGURU SECONDARY SCHOOL,Mwanza,Lake,73,73,73,73,100,green,2.3353,3,5,82,140
S1530,ST. RUFINO AND RONALDO AGR. SEC. SCHOOL,Kigoma,Lake,85,85,85,85,100,green,2.3356,3,4,83,58
S1670,STANLEY SECONDARY SCHOOL,Dar es Salaam,Coastal,43,43,43,43,100,green,2.3438,3,3,84,27
S0800,LOYOLA SECONDARY SCHOOL,Dar es Salaam,Coastal,184,184,184,184,100,green,2.3463,3,4,85,66
S2499,TUSIIME SECONDARY SCHOOL,Dar es Salaam,Coastal,171,171,171,171,100,green,2.357,3,3,86,41
S5128,OSWE SECONDARY SCHOOL,Mbeya,Southern Highlands,55,55,55,55,100,green,2.358,3,4,87,115
S0167,KIDUGALA LUTHERAN SEMINARY,Njombe,Southern Highlands,85,85,85,85,100,green,2.3596,3,3,88,29
S0938,MBEZI BEACH SECONDARY SCHOOL,Dar es Salaam,Coastal,75,75,75,75,100,green,2.3704,3,5,89,144
S5376,RITALIZA SECONDARY SCHOOL,Kilimanjaro,Northern,43,43,43,43,100,green,2.3816,3,,90,
S4740,ST STEPHEN BOYS SECONDARY SCHOOL,Kilimanjaro,Northern,87,87,87,87,100,green,2.3889,3,3,91,37
S0205,KIBOSHO GIRLS SECONDARY SCHOOL,Kilimanjaro,Northern,151,151,151,151,100,green,2.3955,3,4,92,81
S0184,AGAPE LUTHERAN J SEMINARY,Kilimanjaro,Northern,106,106,106,106,100,green,2.4012,3,3,93,51
S0206,KILAKALA SECONDARY SCHOOL,Morogoro,Southern Highlands,94,92,92,92,100,green,2.403,3,4,94,96
S4601,ST. FRANCIS OF ASSISI GIRLS' SECONDARY SCHOOL,Dodoma,Central,67,67,67,67,100,green,2.4036,3,4,95,72
S0223,MASAMA GIRLS SECONDARY SCHOOL,Kilimanjaro,Northern,64,64,64,64,100,green,2.4087,3,4,96,70
S4423,ST. FRANCIS XAVIER SECONDARY SCHOOL,Kigoma,Lake,89,89,89,89,100,green,2.41,3,4,97,88
S0183,STELLA MATUTINA LIGHANO SEMINARY,Ruvuma,Southern Highlands,46,46,46,46,100,green,2.4126,3,3,98,29
S4928,LIVING STONE BOYS' SEMINARY ,Tanga,Northern,63,63,63,63,100,green,2.4127,3,,99,
S1792,TRUST PATRICK SECONDARY SCHOOL,Arusha,Northern,93,93,93,93,100,green,2.4152,3,4,100,65
S1409,HAGAFILO SECONDARY SCHOOL,Njombe,Southern Highlands,59,59,59,59,100,green,2.4263,3,4,101,113
S4063,CHIEF WANZAGI SECONDARY SCHOOL,Mara ,Southern Highlands,40,40,40,40,100,green,2.4306,3,4,102,83
S4193,HARRISON UWATA GIRLS SECONDARY SCHOOL,Mbeya,Southern Highlands,118,117,117,117,100,green,2.4382,3,3,103,55
