CSEE 2015 SCHOOL RANKING - CENTRE WITH 40 AND MORE CANDIDATES,,,,,,,,,,
"KEY: BAND1: GPA 1 to 1.499, BAND2: 1.5 to 1.999 , BAND3: 2 to 2.499, BAND4: 2.5 to 2.999, BAND5: 3 to 3.499, BAND6: 3.5 to 3.999, BAND7: 4 to 4.299,    BAND8: 4.3 to 4.499, BAND9:4.5 to 4.699, BAND10: 4.7 to 5",,,,,,,,,,
Color Code: Green: High Performing Schools; Yellow: Medium Performing Schools; Red: Low Performing Schools,,,,,,,,,,
CENTRE CODE,CENTRE NAME,REGION NAME,REGIST. CAND. 2015,CLEAN CAND. 2015,PASSED CAND. (I to IV) 2015,AVERAGE GPA 2015,BAND OF SCHOOL 2015,BAND OF SCHOOL 2014,RANK OF SCHOOL 2015,RANK OF SCHOOL 2014
S4631,KAIZIREGE SECONDARY SCHOOL,KAGERA,73,72,72,1.3316,1,1,1,1
S4836,ALLIANCE GIRLS SECONDARY SCHOOL,MWANZA,41,41,41,1.4136,1,2,2,13
S0239,ST. FRANCIS GIRLS SECONDARY SCHOOL,MBEYA,84,84,84,1.4958,1,2,3,4
S4645,ALLIANCE BOYS' SECONDARY SCHOOL,MWANZA,43,43,43,1.5422,2,1,4,2
S2325,CANOSSA SECONDARY SCHOOL,DAR ES SALAAM,97,97,97,1.5566,2,2,5,7
S4213,MARIAN BOYS' SECONDARY SCHOOL,PWANI,112,112,112,1.5709,2,2,6,3
S5327,ALLIANCE ROCK ARMY SECONDARY SCHOOL,MWANZA,80,80,80,1.5869,2,,7,
S0298,FEZA GIRLS' SECONDARY SCHOOL,DAR ES SALAAM,44,44,44,1.5875,2,2,8,6
S0189,FEZA BOYS' SECONDARY SCHOOL,DAR ES SALAAM,69,68,68,1.6283,2,2,9,10
S0165,URU SEMINARY,KILIMANJARO,45,45,45,1.6593,2,3,10,40
S0729,MSOLWA SECONDARY SCHOOL,MOROGORO,99,99,99,1.7038,2,2,11,16
S0295,PRECIOUS BLOOD SECONDARY SCHOOL,ARUSHA,92,92,92,1.7289,2,2,12,11
S3470,ABBEY SECONDARY SCHOOL,MTWARA,110,110,110,1.7338,2,2,13,5
S0248,MARIAN GIRLS SECONDARY SCHOOL,PWANI,139,139,139,1.767,2,2,14,9
S1601,TENGERU BOYS SECONDARY SCHOOL,ARUSHA,100,100,100,1.7744,2,2,15,12
S0692,ROSMINI SECONDARY SCHOOL,TANGA,84,84,84,1.7984,2,2,16,15
S3241,JOSIAH GIRLS SECONDARY SCHOOL,KAGERA,47,47,47,1.8029,2,,17,
S0118,KATOKE SEMINARY,KAGERA,45,45,45,1.8123,2,2,18,3
S0172,DON BOSCO SEMINARY,IRINGA,48,47,47,1.8155,2,2,19,20
S0121,ST. JAMES SEMINARY,KILIMANJARO,44,44,44,1.8248,2,2,20,18
S0249,LORETO GIRLS SECONDARY SCHOOL,MWANZA,106,106,106,1.8308,2,2,21,23
S0224,KIFUNGILO GIRLS SECONDARY SCHOOL,TANGA,88,88,88,1.834,2,2,22,19
S0159,ST. JOSEPH'S ITERAMBOGO SEMINARY,KIGOMA,51,51,51,1.8573,2,2,23,14
S0233,ST. MARY'S MAZINDE JUU SECONDARY SCHOOL,TANGA,101,101,101,1.8621,2,2,24,17
S4405,ST AMEDEUS SECONDARY SCHOOL,KILIMANJARO,117,117,117,1.9263,2,3,25,46
S0247,BONICONSILI MABAMBA GIRLS SECONDARY SCHOOL,KIGOMA,65,65,65,1.9375,2,3,26,48
S0264,BARBRO-JOHANSSON SECONDARY SCHOOL,DAR ES SALAAM,77,77,77,1.9722,2,3,27,52
S3268,MORNING STAR SECONDARY SCHOOL,MWANZA,65,65,65,1.9727,2,2,28,22
S1522,SCOLASTICA SECONDARY SCHOOL,KILIMANJARO,104,104,104,1.9891,2,3,29,39
S0117,KASITA SEMINARY,MOROGORO,48,48,48,1.9976,2,3,30,18
S0146,NYEGEZI SEMINARY,MWANZA,66,66,66,2.0059,3,3,31,27
S0473,KANYIGO SECONDARY SCHOOL,KAGERA,166,166,166,2.0252,3,4,32,77
S3964,JOYLAND GIRLS SECONDARY SCHOOL,KILIMANJARO,79,79,79,2.04,3,4,33,82
S0867,PANDAHILL SECONDARY SCHOOL,MBEYA,172,172,172,2.0448,3,3,34,36
