Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Company Status,Transactions Number,Amount (GBP),VAT Registration Number
FCO,FCO,2010-05-06T00:00:00Z,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,FISCAL CRIME LIAISON OFFICE,Unknown,300002462,44765.96,
FCO,FCO,2010-04-09T00:00:00Z,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,AL-RAMI MOTORS COMPANY,Unknown,400000417,46529.11,
FCO,FCO,2010-04-09T00:00:00Z,Construction Project more than ����10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,28485.6,
FCO,FCO,2010-04-09T00:00:00Z,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,15537.6,
FCO,FCO,2010-04-09T00:00:00Z,Construction Project more than ����10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,2289.3,
FCO,FCO,2010-04-09T00:00:00Z,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,763.1,
FCO,FCO,2010-04-09T00:00:00Z,Construction Project more than ����10k,DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,134.55,
FCO,FCO,2010-04-09T00:00:00Z,"Purchase of Furniture, Fittings and Domestic Appliances",DG CHANGE & DELIVERY,WIESNER-HAGER MOBEL GMBH,Unknown,1161535,650.0,
FCO,FCO,2010-04-01T00:00:00Z,Energy Saving Measures,DG CHANGE & DELIVERY,ESSENT TRADING INTERNATIONAL SA,Unknown,1160844,740400.0,
FCO,FCO,2010-04-06T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,KOFI ANNAN FOUNDATION,Unknown,1161110,200000.0,
FCO,FCO,2010-05-04T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG POLITICAL,ARTICLE 19,Active,1163035,58681.0,
FCO,FCO,2010-05-06T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,ASSOC OF COMMONWEALTH UNIVERSITIES,Unknown,1163241,29743.0,
FCO,FCO,2010-05-06T00:00:00Z,Programme Spend (Oracle Projects Control Account),DG CENTRAL GROUP,ASSOC OF COMMONWEALTH UNIVERSITIES,Unknown,1163241,5205.03,
FCO,FCO,2010-04-14T00:00:00Z,Publications,DG CHANGE & DELIVERY,PARK COMMUNICATIONS LIMITED,Active,1161858,54935.0,
